Vernier Format 2
blank_mit_gewicht.cmbl 18.03.2025 18:35:50 .
Aktuell
Zeit	Potenzial
t	Pot
s	cm

0	-0.236208355774
0.005	-0.282372855274
0.01	-0.137724090175
0.015	-0.137724090175
0.02	-0.0884819573748
0.025	-0.0884819573748
0.03	-0.0392398245749
0.035	-0.0392398245749
0.04	-0.137724090175
0.045	-0.137724090175
0.05	-0.0392398245749
0.055	-0.0392398245749
0.06	-0.137724090175
0.065	-0.137724090175
0.07	-0.0884819573748
0.075	-0.0884819573748
0.08	-0.282372855274
0.085	-0.282372855274
0.09	-0.137724090175
0.095	-0.0884819573748
0.1	-0.0884819573748
0.105	-0.137724090175
0.11	-0.0884819573748
0.115	-0.0884819573748
0.12	-0.186966222975
0.125	-0.186966222975
0.13	-0.0884819573748
0.135	-0.0392398245749
0.14	-0.0884819573748
0.145	-0.0884819573748
0.15	-0.0392398245749
0.155	-0.0884819573748
0.16	-0.0392398245749
0.165	-0.0392398245749
0.17	-0.0392398245749
0.175	-0.0392398245749
0.18	-0.0392398245749
0.185	-0.0392398245749
0.19	-0.0884819573748
0.195	-0.0392398245749
0.2	-0.0392398245749
0.205	0.010002308225
0.21	-0.186966222975
0.215	-0.186966222975
0.22	-0.137724090175
0.225	-0.137724090175
0.23	-0.282372855274
0.235	-0.282372855274
0.24	-0.282372855274
0.245	-0.282372855274
0.25	-0.282372855274
0.255	-0.282372855274
0.26	-0.282372855274
0.265	-0.236208355774
0.27	-0.282372855274
0.275	-0.282372855274
0.28	-0.0884819573748
0.285	-0.0884819573748
0.29	-0.186966222975
0.295	-0.186966222975
0.3	-0.0392398245749
0.305	-0.0392398245749
0.31	-0.0884819573748
0.315	-0.0884819573748
0.32	-0.137724090175
0.325	-0.0884819573748
0.33	-0.0392398245749
0.335	-0.0392398245749
0.34	-0.137724090175
0.345	-0.0884819573748
0.35	-0.0884819573748
0.355	-0.137724090175
0.36	-0.0884819573748
0.365	-0.0392398245749
0.37	-0.186966222975
0.375	-0.186966222975
0.38	-0.186966222975
0.385	-0.186966222975
0.39	-0.186966222975
0.395	-0.186966222975
0.4	-0.186966222975
0.405	-0.186966222975
0.41	-0.186966222975
0.415	-0.186966222975
0.42	-0.0392398245749
0.425	-0.0392398245749
0.43	-0.0884819573748
0.435	-0.0884819573748
0.44	-0.0392398245749
0.445	-0.0392398245749
0.45	0.0592444410249
0.455	0.0592444410249
0.46	-0.0392398245749
0.465	0.010002308225
0.47	0.0592444410249
0.475	0.0592444410249
0.48	-0.0392398245749
0.485	-0.0392398245749
0.49	-0.0392398245749
0.495	-0.0392398245749
0.5	-0.0884819573748
0.505	-0.137724090175
0.51	-0.137724090175
0.515	-0.0884819573748
0.52	-0.137724090175
0.525	-0.137724090175
0.53	-0.137724090175
0.535	-0.137724090175
0.54	-0.0392398245749
0.545	-0.0392398245749
0.55	-0.137724090175
0.555	-0.137724090175
0.56	-0.0884819573748
0.565	-0.0884819573748
0.57	0.010002308225
0.575	-0.0392398245749
0.58	0.010002308225
0.585	0.010002308225
0.59	-0.0392398245749
0.595	-0.0392398245749
0.6	-0.0392398245749
0.605	-0.0392398245749
0.61	-0.0884819573748
0.615	-0.0392398245749
0.62	-0.0392398245749
0.625	-0.0392398245749
0.63	-0.282372855274
0.635	-0.282372855274
0.64	-0.236208355774
0.645	-0.186966222975
0.65	-0.137724090175
0.655	-0.0884819573748
0.66	-0.0884819573748
0.665	-0.137724090175
0.67	-0.0884819573748
0.675	-0.0884819573748
0.68	-0.186966222975
0.685	-0.186966222975
0.69	-0.0392398245749
0.695	-0.0392398245749
0.7	-0.0392398245749
0.705	0.010002308225
0.71	-0.0392398245749
0.715	-0.0392398245749
0.72	-0.137724090175
0.725	-0.0884819573748
0.73	-0.0392398245749
0.735	-0.0392398245749
0.74	-0.0392398245749
0.745	-0.0392398245749
0.75	-0.0884819573748
0.755	-0.137724090175
0.76	-0.282372855274
0.765	-0.282372855274
0.77	-0.282372855274
0.775	-0.282372855274
0.78	-0.0884819573748
0.785	-0.0884819573748
0.79	-0.236208355774
0.795	-0.186966222975
0.8	-0.0884819573748
0.805	-0.137724090175
0.81	-0.282372855274
0.815	-0.282372855274
0.82	-0.0884819573748
0.825	-0.0884819573748
0.83	-0.0392398245749
0.835	-0.0392398245749
0.84	0.0592444410249
0.845	0.0592444410249
0.85	0.010002308225
0.855	-0.0392398245749
0.86	0.108486573825
0.865	0.157728706625
0.87	0.206970839424
0.875	0.206970839424
0.88	0.354697237824
0.885	0.354697237824
0.89	0.354697237824
0.895	0.305455105024
0.9	0.499346002924
0.905	0.548588135724
0.91	0.745556666923
0.915	0.745556666923
0.92	0.794798799723
0.925	0.794798799723
0.93	0.893283065323
0.935	0.893283065323
0.94	1.18565822882
0.945	1.18565822882
0.95	1.48111102562
0.955	1.48111102562
0.96	1.87197045472
0.965	1.82272832192
0.97	1.97045472032
0.975	1.97045472032
0.98	2.21666538432
0.985	2.21666538432
0.99	2.41055628222
0.995	2.41055628222
1	2.65676694622
1.005	2.65676694622
1.01	2.94914210972
1.015	2.94914210972
1.02	3.19535277372
1.025	3.19535277372
1.03	3.24459490652
1.035	3.24459490652
1.04	3.53697007002
1.045	3.58621220282
1.05	3.83242286682
1.055	3.83242286682
1.06	4.17404016311
1.065	4.17404016311
1.07	4.37100869431
1.075	4.37100869431
1.08	4.71262599061
1.085	4.66646149111
1.09	5.00807878741
1.095	5.00807878741
1.1	5.34969608371
1.105	5.34969608371
1.11	5.79287527891
1.115	5.79287527891
1.12	5.98676617681
1.125	5.98676617681
1.13	6.33146110641
1.135	6.33146110641
1.14	6.62383626991
1.145	6.62383626991
1.15	6.91928906671
1.155	6.91928906671
1.16	7.31014849581
1.165	7.31014849581
1.17	7.65484342541
1.175	7.60560129261
1.18	7.99646072171
1.185	7.94721858891
1.19	8.1934292529
