Vernier Format 2
blank_mit_gewicht.cmbl 18.03.2025 18:22:38 .
Aktuell
Zeit	Potenzial
t	Pot
s	cm

0	-0.0884819573748
0.005	-0.0884819573748
0.01	-0.0392398245749
0.015	-0.137724090175
0.02	-0.0884819573748
0.025	-0.0392398245749
0.03	-0.0392398245749
0.035	-0.0392398245749
0.04	-0.0392398245749
0.045	-0.137724090175
0.05	-0.137724090175
0.055	-0.137724090175
0.06	-0.0884819573748
0.065	-0.282372855274
0.07	-0.282372855274
0.075	-0.186966222975
0.08	-0.236208355774
0.085	-0.186966222975
0.09	-0.186966222975
0.095	-0.236208355774
0.1	-0.282372855274
0.105	-0.0884819573748
0.11	-0.0884819573748
0.115	-0.186966222975
0.12	-0.186966222975
0.125	-0.236208355774
0.13	-0.186966222975
0.135	-0.236208355774
0.14	-0.282372855274
0.145	-0.236208355774
0.15	-0.282372855274
0.155	0.0592444410249
0.16	0.0592444410249
0.165	-0.0392398245749
0.17	-0.0392398245749
0.175	-0.0392398245749
0.18	-0.0392398245749
0.185	-0.0884819573748
0.19	0.010002308225
0.195	-0.0392398245749
0.2	-0.0392398245749
0.205	-0.0884819573748
0.21	-0.0392398245749
0.215	0.010002308225
0.22	0.010002308225
0.225	-0.137724090175
0.23	-0.137724090175
0.235	-0.0884819573748
0.24	-0.137724090175
0.245	-0.186966222975
0.25	-0.186966222975
0.255	-0.0884819573748
0.26	-0.0884819573748
0.265	-0.282372855274
0.27	-0.282372855274
0.275	-0.186966222975
0.28	-0.186966222975
0.285	-0.282372855274
0.29	-0.282372855274
0.295	-0.0884819573748
0.3	-0.137724090175
0.305	-0.186966222975
0.31	-0.186966222975
0.315	-0.0884819573748
0.32	-0.0884819573748
0.325	-0.186966222975
0.33	-0.186966222975
0.335	-0.186966222975
0.34	-0.186966222975
0.345	-0.282372855274
0.35	-0.282372855274
0.355	-0.236208355774
0.36	-0.186966222975
0.365	-0.282372855274
0.37	-0.282372855274
0.375	-0.282372855274
0.38	-0.282372855274
0.385	-0.186966222975
0.39	-0.186966222975
0.395	-0.282372855274
0.4	-0.282372855274
0.405	-0.331614988074
0.41	-0.380857120874
0.415	-0.186966222975
0.42	-0.186966222975
0.425	-0.282372855274
0.43	-0.282372855274
0.435	-0.282372855274
0.44	-0.282372855274
0.445	-0.186966222975
0.45	-0.186966222975
0.455	-0.331614988074
0.46	-0.331614988074
0.465	-0.282372855274
0.47	-0.282372855274
0.475	-0.282372855274
0.48	-0.282372855274
0.485	-0.236208355774
0.49	-0.186966222975
0.495	-0.186966222975
0.5	-0.186966222975
0.505	-0.0884819573748
0.51	-0.0884819573748
0.515	-0.186966222975
0.52	-0.186966222975
0.525	-0.137724090175
0.53	-0.137724090175
0.535	-0.186966222975
0.54	-0.186966222975
0.545	-0.282372855274
0.55	-0.282372855274
0.555	-0.186966222975
0.56	-0.186966222975
0.565	-0.282372855274
0.57	-0.282372855274
0.575	-0.186966222975
0.58	-0.186966222975
0.585	-0.137724090175
0.59	-0.0884819573748
0.595	-0.0884819573748
0.6	-0.0884819573748
0.605	-0.137724090175
0.61	-0.0884819573748
0.615	-0.137724090175
0.62	-0.0884819573748
0.625	-0.0392398245749
0.63	-0.0392398245749
0.635	-0.186966222975
0.64	-0.186966222975
0.645	-0.186966222975
0.65	-0.186966222975
0.655	-0.0884819573748
0.66	-0.0884819573748
0.665	-0.186966222975
0.67	-0.186966222975
0.675	-0.186966222975
0.68	-0.236208355774
0.685	-0.0884819573748
0.69	-0.0884819573748
0.695	-0.186966222975
0.7	-0.186966222975
0.705	-0.0884819573748
0.71	-0.0884819573748
0.715	-0.0884819573748
0.72	-0.0884819573748
0.725	-0.0884819573748
0.73	-0.137724090175
0.735	-0.0884819573748
0.74	-0.137724090175
0.745	-0.137724090175
0.75	-0.0884819573748
0.755	-0.0884819573748
0.76	-0.0884819573748
0.765	-0.282372855274
0.77	-0.282372855274
0.775	-0.282372855274
0.78	-0.282372855274
0.785	-0.282372855274
0.79	-0.282372855274
0.795	-0.186966222975
0.8	-0.186966222975
0.805	-0.282372855274
0.81	-0.282372855274
0.815	-0.282372855274
0.82	-0.282372855274
0.825	-0.380857120874
0.83	-0.380857120874
0.835	-0.186966222975
0.84	-0.186966222975
0.845	-0.0884819573748
0.85	-0.0884819573748
0.855	-0.282372855274
0.86	-0.282372855274
0.865	-0.282372855274
0.87	-0.282372855274
0.875	-0.282372855274
0.88	-0.282372855274
0.885	-0.236208355774
0.89	-0.282372855274
0.895	-0.186966222975
0.9	-0.186966222975
0.905	-0.0884819573748
0.91	-0.0884819573748
0.915	-0.282372855274
0.92	-0.282372855274
0.925	-0.186966222975
0.93	-0.186966222975
0.935	-0.282372855274
0.94	-0.282372855274
0.945	-0.186966222975
0.95	-0.186966222975
0.955	-0.186966222975
0.96	-0.186966222975
0.965	-0.380857120874
0.97	-0.331614988074
0.975	-0.331614988074
0.98	-0.380857120874
0.985	-0.380857120874
0.99	-0.331614988074
0.995	-0.282372855274
1	-0.331614988074
1.005	-0.282372855274
1.01	-0.282372855274
1.015	-0.331614988074
1.02	-0.331614988074
1.025	-0.282372855274
1.03	-0.282372855274
1.035	-0.137724090175
1.04	-0.0884819573748
1.045	-0.0392398245749
1.05	-0.0392398245749
1.055	-0.0884819573748
1.06	-0.0884819573748
1.065	-0.0392398245749
1.07	-0.0392398245749
1.075	0.010002308225
1.08	-0.0392398245749
1.085	0.0592444410249
1.09	0.0592444410249
1.095	0.0592444410249
1.1	0.0592444410249
1.105	-0.0392398245749
1.11	-0.0392398245749
1.115	0.0592444410249
1.12	0.108486573825
1.125	0.305455105024
1.13	0.305455105024
1.135	0.400861737324
1.14	0.400861737324
1.145	0.499346002924
1.15	0.499346002924
1.155	0.745556666923
1.16	0.745556666923
1.165	0.942525198123
1.17	0.988689697623
1.175	1.13641609602
1.18	1.13641609602
